Source Url	License Issuer - License Type (Concatenated)	Issuer	License Type	License Type Aliases	License Category	Atypical Verification	Confluence Link	Scraper Status	Automated	Captcha	Mapping Location	Scraper Id	Lic Number Format	Board Name
http://search.mcbap.com/lo	Michigan - Development Plan	Michigan	Development Plan	Development Plan - Counselor	state_license	False	https://providertrust.atlassian.net/wiki/spaces/DM/pages/2178777109/MCBAP+-+Michigan+Certification+Board+for+Addiction+Professionals	Inactive	False	False	Passport & PTApp	vapp		MCBAP - Michigan Certification Board for Addiction Professionals
http://www.wvsocialworkboard.org/Licensure/LicenseVerification.aspx	West Virginia - LBSW - Licensed Baccalaureate Social Worker	West Virginia	LBSW - Licensed Baccalaureate Social Worker	Social Worker|LBSW|Licensed Baccalaureate Social Worker	state_license	False	https://providertrust.atlassian.net/wiki/spaces/DM/pages/2892759146/West+Virginia+-+Board+of+Social+Work+LM+WV+SW#Manual-Verification-Considerations	Active	True	False	Passport & PTApp	LM_WV_SW		West Virginia - Board of Social Work LM WV SW
http://www.wvsocialworkboard.org/Licensure/LicenseVerification.aspx	West Virginia - LGSW - Licensed Graduate Social Work	West Virginia	LGSW - Licensed Graduate Social Work	Graduate Social Worker	state_license	False	https://providertrust.atlassian.net/wiki/spaces/DM/pages/2892759146/West+Virginia+-+Board+of+Social+Work+LM+WV+SW#Manual-Verification-Considerations	Active	True	False	Passport & PTApp	LM_WV_SW		West Virginia - Board of Social Work LM WV SW
http://www.wvsocialworkboard.org/Licensure/LicenseVerification.aspx	West Virginia - Licensed Certified Social Worker	West Virginia	Licensed Certified Social Worker	Certified Social Worker	state_license	False	https://providertrust.atlassian.net/wiki/spaces/DM/pages/2892759146/West+Virginia+-+Board+of+Social+Work+LM+WV+SW#Manual-Verification-Considerations	Active	True	False	Passport & PTApp	LM_WV_SW		West Virginia - Board of Social Work LM WV SW
http://www.wvsocialworkboard.org/Licensure/LicenseVerification.aspx	West Virginia - Licensed Clinical Social Worker	West Virginia	Licensed Clinical Social Worker	Social Worker|Independent Clinical Social Worker	state_license	False	https://providertrust.atlassian.net/wiki/spaces/DM/pages/2892759146/West+Virginia+-+Board+of+Social+Work+LM+WV+SW#Manual-Verification-Considerations	Active	True	False	Passport & PTApp	LM_WV_SW		West Virginia - Board of Social Work LM WV SW
http://www.wvsocialworkboard.org/Licensure/LicenseVerification.aspx	West Virginia - LICSW - Licensed Independent Clinical Social Worker	West Virginia	LICSW - Licensed Independent Clinical Social Worker	Independent Clinical Social Worker	state_license	False	https://providertrust.atlassian.net/wiki/spaces/DM/pages/2892759146/West+Virginia+-+Board+of+Social+Work+LM+WV+SW#Manual-Verification-Considerations	Active	True	False	Passport & PTApp	LM_WV_SW		West Virginia - Board of Social Work LM WV SW
http://www.wvsocialworkboard.org/Licensure/LicenseVerification.aspx	West Virginia - LISWCP - Licensed Independent Social Worker-Clinical	West Virginia	LISWCP - Licensed Independent Social Worker-Clinical	Independent Clinical Social Worker	state_license	False	https://providertrust.atlassian.net/wiki/spaces/DM/pages/2892759146/West+Virginia+-+Board+of+Social+Work+LM+WV+SW#Manual-Verification-Considerations	Active	True	False	Passport & PTApp	LM_WV_SW		West Virginia - Board of Social Work LM WV SW
http://www.wvsocialworkboard.org/Licensure/LicenseVerification.aspx	West Virginia - LSW - Licensed Social Worker	West Virginia	LSW - Licensed Social Worker	Social Worker	state_license	False	https://providertrust.atlassian.net/wiki/spaces/DM/pages/2892759146/West+Virginia+-+Board+of+Social+Work+LM+WV+SW#Manual-Verification-Considerations	Active	True	False	Passport & PTApp	LM_WV_SW		West Virginia - Board of Social Work LM WV SW
http://www.wvsocialworkboard.org/Licensure/LicenseVerification.aspx	West Virginia - Master Social Worker	West Virginia	Master Social Worker	Certified Social Worker|Graduate Social Worker	state_license	False	https://providertrust.atlassian.net/wiki/spaces/DM/pages/2892759146/West+Virginia+-+Board+of+Social+Work+LM+WV+SW#Manual-Verification-Considerations	Active	True	False	Passport & PTApp	LM_WV_SW		West Virginia - Board of Social Work LM WV SW
http://www.wvsocialworkboard.org/Licensure/LicenseVerification.aspx	West Virginia - Social Work	West Virginia	Social Work	Independent Clinical Social Worker|Social Worker|Graduate Social Worker|Certified Social Worker	state_license	False	https://providertrust.atlassian.net/wiki/spaces/DM/pages/2892759146/West+Virginia+-+Board+of+Social+Work+LM+WV+SW#Manual-Verification-Considerations	Active	True	False	Passport & PTApp	LM_WV_SW		West Virginia - Board of Social Work LM WV SW
